team,season_end_year,srs,mov,net_rating,off_rating,def_rating,pace,w,l,win_pct
PHI,2004,-2.95,-2.49,-2.8,99.1,101.9,88.0,33.0,49.0,0.402
PHX,2004,-2.94,-3.74,-4.1,101.4,105.5,92.6,29.0,53.0,0.354
POR,2004,-0.58,-1.27,-1.4,103.7,105.1,86.2,41.0,41.0,0.5
SAC,2004,5.41,5.01,5.4,110.3,104.9,92.8,55.0,27.0,0.671
SAS,2004,7.51,7.22,8.1,102.2,94.1,89.2,57.0,25.0,0.695
SEA,2004,0.02,-0.63,-0.7,107.3,108.0,89.9,37.0,45.0,0.451
TOR,2004,-3.42,-3.01,-3.4,97.0,100.4,86.8,33.0,49.0,0.402
UTA,2004,-0.53,-1.22,-1.4,101.9,103.3,86.6,42.0,40.0,0.512
WAS,2004,-6.12,-5.63,-6.0,98.8,104.8,92.2,25.0,57.0,0.305
ATL,2005,-9.62,-9.71,-10.5,100.6,111.1,91.4,13.0,69.0,0.158
BOS,2005,0.35,0.87,0.9,107.5,106.6,93.3,45.0,37.0,0.549
CHA,2005,-6.15,-5.99,-6.4,101.1,107.5,92.3,18.0,64.0,0.22
CHI,2005,0.65,1.06,1.1,101.4,100.3,92.4,47.0,35.0,0.573
CLE,2005,0.27,0.79,0.9,106.6,105.7,89.7,42.0,40.0,0.512
DAL,2005,5.86,5.74,6.2,110.3,104.1,92.7,58.0,24.0,0.707
DEN,2005,2.23,2.02,2.1,106.0,103.9,93.5,49.0,33.0,0.598
DET,2005,3.31,3.87,4.4,105.6,101.2,87.2,54.0,28.0,0.658
GSW,2005,-1.74,-2.16,-2.2,104.7,106.9,93.3,34.0,48.0,0.415
HOU,2005,4.27,4.04,4.5,106.2,101.7,88.8,51.0,31.0,0.622
IND,2005,0.49,0.76,0.9,105.5,104.6,87.2,44.0,38.0,0.537
LAC,2005,-0.47,-0.77,-0.9,105.5,106.4,89.1,37.0,45.0,0.451
LAL,2005,-2.32,-2.96,-3.3,108.1,111.4,90.8,34.0,48.0,0.415
MEM,2005,2.64,2.29,2.6,105.5,102.9,88.5,45.0,37.0,0.549
MIA,2005,5.77,6.52,7.1,110.2,103.1,90.8,59.0,23.0,0.72
MIL,2005,-3.09,-2.99,-3.2,106.6,109.8,90.8,30.0,52.0,0.366
MIN,2005,1.73,1.45,1.6,108.2,106.6,89.1,44.0,38.0,0.537
NJN,2005,-1.82,-1.5,-1.7,101.4,103.1,89.1,42.0,40.0,0.512
NOP,2005,-6.3,-7.07,-8.0,99.7,107.7,87.6,18.0,64.0,0.22
NYK,2005,-2.72,-2.44,-2.7,106.2,108.9,90.7,33.0,49.0,0.402
ORL,2005,-2.52,-2.24,-2.4,104.9,107.3,94.7,36.0,46.0,0.439
PHI,2005,-1.07,-0.74,-0.8,103.5,104.3,94.9,43.0,39.0,0.524
PHX,2005,7.08,7.12,7.4,114.5,107.1,95.9,62.0,20.0,0.756
POR,2005,-3.45,-4.0,-4.5,103.2,107.7,89.8,27.0,55.0,0.329
SAC,2005,2.56,2.16,2.3,110.5,108.2,93.0,50.0,32.0,0.61
SAS,2005,7.84,7.8,8.7,107.5,98.8,88.9,59.0,23.0,0.72
SEA,2005,2.59,2.29,2.6,112.2,109.6,87.9,52.0,30.0,0.634
TOR,2005,-1.81,-1.62,-1.8,106.9,108.7,92.7,33.0,49.0,0.402
UTA,2005,-3.74,-4.27,-4.8,104.7,109.5,88.4,26.0,56.0,0.317
WAS,2005,-0.71,-0.33,-0.3,107.2,107.5,93.3,45.0,37.0,0.549
ATL,2006,-4.69,-4.76,-5.2,106.4,111.6,90.4,26.0,56.0,0.317
BOS,2006,-1.59,-1.54,-1.7,105.2,106.9,92.2,33.0,49.0,0.402
CHA,2006,-3.9,-4.0,-4.2,102.5,106.7,93.4,26.0,56.0,0.317
CHI,2006,0.51,0.63,0.6,104.0,103.4,92.9,41.0,41.0,0.5
CLE,2006,2.17,2.23,2.4,107.8,105.4,89.8,50.0,32.0,0.61
DAL,2006,5.96,6.07,6.8,111.8,105.0,87.8,60.0,22.0,0.732
DEN,2006,0.36,0.23,0.3,105.5,105.2,93.9,44.0,38.0,0.537
DET,2006,6.24,6.67,7.7,110.8,103.1,86.8,64.0,18.0,0.78
