game_id,team,event,rate,margin,min_left,season,season_end_year,won_game
20000078,DEN,0,11.688311688311687,15.0,1.2833333333333334,2000-01,2001,0
20000079,BOS,0,0.8314087759815242,6.0,7.216666666666667,2000-01,2001,0
20000079,NYK,0,0.2998636983189459,11.0,36.68333333333333,2000-01,2001,1
20000080,WAS,0,11.80327868852459,12.0,1.0166666666666666,2000-01,2001,0
20000081,CLE,0,23.47826086956522,27.0,1.15,2000-01,2001,0
20000082,DAL,0,0.2623211446740858,11.0,41.93333333333333,2000-01,2001,1
20000082,SAS,0,1.1842105263157896,6.0,5.066666666666666,2000-01,2001,0
20000083,MIA,0,0.146163215590743,6.0,41.05,2000-01,2001,1
20000083,UTA,0,5.925925925925926,8.0,1.35,2000-01,2001,0
20000084,ATL,0,7.5,9.0,1.2,2000-01,2001,0
20000084,LAC,0,0.7224080267558528,18.0,24.916666666666668,2000-01,2001,1
20000085,GSW,0,0.9183673469387756,6.0,6.533333333333333,2000-01,2001,0
20000085,SAC,0,0.117608624632473,6.0,51.016666666666666,2000-01,2001,1
20000086,CHH,0,10.285714285714285,12.0,1.1666666666666667,2000-01,2001,0
20000087,SEA,1,5.949008498583569,35.0,5.883333333333334,2000-01,2001,0
20000088,PHI,0,0.6206896551724138,9.0,14.5,2000-01,2001,1
20000088,BOS,0,10.153846153846157,11.0,1.0833333333333333,2000-01,2001,0
20000089,CLE,0,0.4793608521970705,6.0,12.516666666666667,2000-01,2001,1
20000089,WAS,0,7.894736842105264,10.0,1.2666666666666666,2000-01,2001,0
20000090,IND,0,0.8333333333333334,8.0,9.6,2000-01,2001,1
20000091,CHI,0,20.57142857142857,24.0,1.1666666666666667,2000-01,2001,0
20000092,MIL,0,8.059701492537313,9.0,1.1166666666666667,2000-01,2001,0
20000092,MIN,0,0.2695763799743261,7.0,25.966666666666665,2000-01,2001,1
20000093,VAN,0,14.0625,15.0,1.0666666666666669,2000-01,2001,0
20000094,MIA,0,0.4583333333333333,11.0,24.0,2000-01,2001,0
20000094,PHX,0,0.4719101123595505,7.0,14.833333333333334,2000-01,2001,1
20000095,HOU,1,2.110091743119266,23.0,10.9,2000-01,2001,0
20000096,SEA,0,9.0,9.0,1.0,2000-01,2001,0
20000097,LAC,0,13.913043478260873,16.0,1.15,2000-01,2001,0
20000098,HOU,0,4.444444444444444,6.0,1.35,2000-01,2001,0
20000099,GSW,0,0.9540636042402828,9.0,9.433333333333334,2000-01,2001,0
20000100,DAL,1,7.003891050583658,30.0,4.283333333333333,2000-01,2001,0
20000101,NJN,0,12.53731343283582,14.0,1.1166666666666667,2000-01,2001,0
20000102,LAC,1,4.809160305343512,21.0,4.366666666666666,2000-01,2001,0
20000103,MIA,0,0.1304347826086956,6.0,46.0,2000-01,2001,1
20000103,CHH,0,0.8670520231213873,10.0,11.533333333333331,2000-01,2001,0
20000104,ATL,0,0.4160887656033287,10.0,24.03333333333333,2000-01,2001,1
20000104,POR,0,0.4368932038834952,6.0,13.733333333333333,2000-01,2001,0
20000105,GSW,0,9.166666666666668,11.0,1.2,2000-01,2001,0
20000106,CHI,0,16.521739130434785,19.0,1.15,2000-01,2001,0
20000108,DEN,0,16.119402985074625,18.0,1.1166666666666667,2000-01,2001,0
20000109,SAC,0,0.2802101576182136,8.0,28.55,2000-01,2001,1
20000109,ORL,0,12.0,13.0,1.0833333333333333,2000-01,2001,0
20000110,NYK,1,4.513274336283186,17.0,3.7666666666666666,2000-01,2001,0
20000111,WAS,0,5.454545454545454,7.0,1.2833333333333334,2000-01,2001,0
20000112,MIA,0,3.956043956043956,6.0,1.5166666666666666,2000-01,2001,0
20000113,CLE,0,10.588235294117649,12.0,1.1333333333333333,2000-01,2001,0
20000113,PHI,0,0.3490627020038784,9.0,25.78333333333333,2000-01,2001,1
20000114,IND,0,0.5405405405405405,11.0,20.35,2000-01,2001,1
20000114,DET,0,0.3044397463002114,12.0,39.41666666666666,2000-01,2001,0
20000115,ATL,0,6.575342465753425,8.0,1.2166666666666666,2000-01,2001,0
20000116,GSW,0,4.719101123595506,7.0,1.4833333333333334,2000-01,2001,0
20000117,DAL,1,9.438202247191011,14.0,1.4833333333333334,2000-01,2001,0
20000118,LAC,0,0.3938730853391685,6.0,15.233333333333333,2000-01,2001,1
20000119,WAS,0,4.390243902439025,6.0,1.3666666666666667,2000-01,2001,0
20000119,SAS,0,0.2836134453781512,9.0,31.73333333333333,2000-01,2001,1
20000120,TOR,0,1.791044776119403,8.0,4.466666666666667,2000-01,2001,0
20000121,HOU,0,0.4416403785488959,7.0,15.85,2000-01,2001,1
20000121,CHH,0,0.3742203742203742,9.0,24.05,2000-01,2001,0
20000122,CHI,0,0.8113329040566646,21.0,25.883333333333333,2000-01,2001,0
20000123,UTA,0,0.2094240837696334,8.0,38.2,2000-01,2001,1
20000123,ORL,0,9.230769230769232,10.0,1.0833333333333333,2000-01,2001,0
20000124,LAL,0,0.979020979020979,7.0,7.15,2000-01,2001,1
20000125,VAN,0,0.671892497200448,10.0,14.883333333333333,2000-01,2001,0
20000126,ATL,0,8.674698795180722,12.0,1.3833333333333333,2000-01,2001,0
20000127,MIA,1,3.311688311688312,17.0,5.133333333333334,2000-01,2001,0
20000128,DET,0,0.4294917680744452,10.0,23.28333333333333,2000-01,2001,1
20000128,CHH,0,10.54054054054054,13.0,1.2333333333333334,2000-01,2001,0
20000129,GSW,0,0.1825557809330628,6.0,32.86666666666667,2000-01,2001,1
20000129,IND,0,1.2474012474012472,10.0,8.016666666666667,2000-01,2001,0
20000130,CLE,0,13.23529411764706,15.0,1.1333333333333333,2000-01,2001,0
